Category,Category2,Description,Order in Series,Incremental Percent of Population,Cumulative Percent of Population,Resource Level of this Segment,Units,Resource Level as Percent of Max,Segment Area = Resource Level * Segment Size ,Cumulative Resource Level,Cumulative Percent of Resource,Cumulative Percent of Resource IF EQUALLY DISTRIBUTED,Area under Lorenz Curve,Gini Coefficient,Color
Natural,Relationships,Females' Relationships (# Facebook Friends 2015),7,0.1166,0.8565,300.0000,Num of Friends,0.2000,34.98,110.20,0.5637,0.8565,0.05529,0.50,blue
Natural,Relationships,Females' Relationships (# Facebook Friends 2015),8,0.0538,0.9103,400.0000,Num of Friends,0.2667,21.52,131.73,0.6738,0.9103,0.03330,0.50,blue
Natural,Relationships,Females' Relationships (# Facebook Friends 2015),9,0.0404,0.9507,500.0000,Num of Friends,0.3333,20.18,151.91,0.7770,0.9507,0.02928,0.50,blue
Natural,Relationships,Females' Relationships (# Facebook Friends 2015),10,0.0179,0.9686,600.0000,Num of Friends,0.4000,10.76,162.67,0.8321,0.9686,0.01443,0.50,blue
Natural,Relationships,Females' Relationships (# Facebook Friends 2015),11,0.0063,0.9749,700.0000,Num of Friends,0.4667,4.39,167.06,0.8546,0.9749,0.00529,0.50,blue
Natural,Relationships,Females' Relationships (# Facebook Friends 2015),12,0.0054,0.9803,800.0000,Num of Friends,0.5333,4.30,171.37,0.8766,0.9803,0.00466,0.50,blue
Natural,Relationships,Females' Relationships (# Facebook Friends 2015),13,0.0054,0.9857,900.0000,Num of Friends,0.6000,4.84,176.21,0.9014,0.9857,0.00478,0.50,blue
Natural,Relationships,Females' Relationships (# Facebook Friends 2015),14,0.0045,0.9901,1000.0000,Num of Friends,0.6667,4.48,180.70,0.9243,0.9901,0.00409,0.50,blue
Natural,Relationships,Females' Relationships (# Facebook Friends 2015),15,0.0099,1.0000,1500.0000,Num of Friends,1.0000,14.80,195.49,1.0000,1.0000,0.00949,0.50,blue
Natural,Relationships,Males' Relationships (# Facebook Friends 2015),1,0.0000,0.0000,0.0000,Num of Friends,0.0000,0.00,0.00,0.0000,0.0000,0.00000,0.53,blue
Natural,Relationships,Males' Relationships (# Facebook Friends 2015),2,0.2111,0.2111,25.0000,Num of Friends,0.0167,5.28,5.28,0.0302,0.2111,0.00319,0.53,blue
Natural,Relationships,Males' Relationships (# Facebook Friends 2015),3,0.1556,0.3667,50.0000,Num of Friends,0.0333,7.78,13.06,0.0748,0.3667,0.00817,0.53,blue
Natural,Relationships,Males' Relationships (# Facebook Friends 2015),4,0.1389,0.5056,75.0000,Num of Friends,0.0500,10.42,23.47,0.1345,0.5056,0.01454,0.53,blue
Natural,Relationships,Males' Relationships (# Facebook Friends 2015),5,0.0889,0.5944,100.0000,Num of Friends,0.0667,8.89,32.36,0.1855,0.5944,0.01422,0.53,blue
Natural,Relationships,Males' Relationships (# Facebook Friends 2015),6,0.1778,0.7722,200.0000,Num of Friends,0.1333,35.56,67.92,0.3893,0.7722,0.05109,0.53,blue
Natural,Relationships,Males' Relationships (# Facebook Friends 2015),7,0.0944,0.8667,300.0000,Num of Friends,0.2000,28.33,96.25,0.5517,0.8667,0.04443,0.53,blue
Natural,Relationships,Males' Relationships (# Facebook Friends 2015),8,0.0578,0.9244,400.0000,Num of Friends,0.2667,23.11,119.36,0.6841,0.9244,0.03570,0.53,blue
Natural,Relationships,Males' Relationships (# Facebook Friends 2015),9,0.0244,0.9489,500.0000,Num of Friends,0.3333,12.22,131.58,0.7542,0.9489,0.01758,0.53,blue
Natural,Relationships,Males' Relationships (# Facebook Friends 2015),10,0.0222,0.9711,600.0000,Num of Friends,0.4000,13.33,144.92,0.8306,0.9711,0.01761,0.53,blue
Natural,Relationships,Males' Relationships (# Facebook Friends 2015),11,0.0111,0.9822,700.0000,Num of Friends,0.4667,7.78,152.69,0.8752,0.9822,0.00948,0.53,blue
Natural,Relationships,Males' Relationships (# Facebook Friends 2015),12,0.0033,0.9856,800.0000,Num of Friends,0.5333,2.67,155.36,0.8905,0.9856,0.00294,0.53,blue
Natural,Relationships,Males' Relationships (# Facebook Friends 2015),13,0.0033,0.9889,900.0000,Num of Friends,0.6000,3.00,158.36,0.9077,0.9889,0.00300,0.53,blue
Natural,Relationships,Males' Relationships (# Facebook Friends 2015),14,0.0011,0.9900,1000.0000,Num of Friends,0.6667,1.11,159.47,0.9140,0.9900,0.00101,0.53,blue
Natural,Relationships,Males' Relationships (# Facebook Friends 2015),15,0.0100,1.0000,1500.0000,Num of Friends,1.0000,15.00,174.47,1.0000,1.0000,0.00957,0.53,blue
Cryptocurrency,Bitcoin,Bitcoin (All Addresses 2023),1,0.0000,0.0000,0.0000,Addresses,0.0000,0.000,0.000,0.0000,0.0000,0.00000,0.98,green
Cryptocurrency,Bitcoin,Bitcoin (All Addresses 2023),2,0.0726,0.0726,0.0000,Addresses,0.0000,0.000,0.000,0.0000,0.0726,0.00000,0.98,green
Cryptocurrency,Bitcoin,Bitcoin (All Addresses 2023),3,0.1922,0.2648,0.0000,Addresses,0.0000,0.000,0.000,0.0000,0.2648,0.00000,0.98,green
Cryptocurrency,Bitcoin,Bitcoin (All Addresses 2023),4,0.2383,0.5031,0.0004,Addresses,0.0000,0.000,0.000,0.0002,0.5031,0.00003,0.98,green
Cryptocurrency,Bitcoin,Bitcoin (All Addresses 2023),5,0.2349,0.7380,0.0037,Addresses,0.0000,0.001,0.001,0.0022,0.7380,0.00029,0.98,green
Cryptocurrency,Bitcoin,Bitcoin (All Addresses 2023),6,0.1659,0.9040,0.0336,Addresses,0.0000,0.006,0.007,0.0149,0.9040,0.00142,0.98,green
Cryptocurrency,Bitcoin,Bitcoin (All Addresses 2023),7,0.0737,0.9777,0.3109,Addresses,0.0000,0.023,0.029,0.0671,0.9777,0.00303,0.98,green
Cryptocurrency,Bitcoin,Bitcoin (All Addresses 2023),8,0.0188,0.9965,2.4999,Addresses,0.0000,0.047,0.076,0.1741,0.9965,0.00227,0.98,green
Cryptocurrency,Bitcoin,Bitcoin (All Addresses 2023),9,0.0032,0.9996,31.8778,Addresses,0.0002,0.101,0.177,0.4041,0.9996,0.00092,0.98,green
Cryptocurrency,Bitcoin,Bitcoin (All Addresses 2023),10,0.0003,1.0000,277.6606,Addresses,0.0017,0.089,0.266,0.6068,1.0000,0.00016,0.98,green
Cryptocurrency,Bitcoin,Bitcoin (All Addresses 2023),11,0.0000,1.0000,2388.4797,Addresses,0.0143,0.104,0.371,0.8447,1.0000,0.00003,0.98,green
Cryptocurrency,Bitcoin,Bitcoin (All Addresses 2023),12,0.0000,1.0000,21332.7615,Addresses,0.1277,0.053,0.424,0.9653,1.0000,0.00000,0.98,green
Cryptocurrency,Bitcoin,Bitcoin (All Addresses 2023),13,0.0000,1.0000,167076.5000,Addresses,1.0000,0.015,0.439,1.0000,1.0000,0.00000,0.98,green
Cryptocurrency,Bitcoin,Bitcoin (Addresses > 0.1 BTC),1,0.0000,0.0000,0.0000,Addresses,0.0000,0.000,0.000,0.0000,0.0000,0.00000,0.89,green
Cryptocurrency,Bitcoin,Bitcoin (Addresses > 0.1 BTC),2,0.7676,0.7676,0.3109,Addresses,0.0000,0.239,0.239,0.0530,0.7676,0.02034,0.89,green
Cryptocurrency,Bitcoin,Bitcoin (Addresses > 0.1 BTC),3,0.1956,0.9632,2.4999,Addresses,0.0000,0.489,0.728,0.1615,0.9632,0.02098,0.89,green
Cryptocurrency,Bitcoin,Bitcoin (Addresses > 0.1 BTC),4,0.0330,0.9962,31.8778,Addresses,0.0002,1.052,1.779,0.3950,0.9962,0.00918,0.89,green
Cryptocurrency,Bitcoin,Bitcoin (Addresses > 0.1 BTC),5,0.0033,0.9995,277.6606,Addresses,0.0017,0.927,2.706,0.6009,0.9995,0.00166,0.89,green
Cryptocurrency,Bitcoin,Bitcoin (Addresses > 0.1 BTC),6,0.0005,1.0000,2388.4797,Addresses,0.0143,1.088,3.794,0.8424,1.0000,0.00033,0.89,green
Cryptocurrency,Bitcoin,Bitcoin (Addresses > 0.1 BTC),7,0.0000,1.0000,21332.7615,Addresses,0.1277,0.551,4.345,0.9648,1.0000,0.00002,0.89,green
Cryptocurrency,Bitcoin,Bitcoin (Addresses > 0.1 BTC),8,0.0000,1.0000,167076.5000,Addresses,1.0000,0.159,4.504,1.0000,1.0000,0.00000,0.89,green
Cryptocurrency,Ethereum,Ethereum (All Addresses 2023),1,0.0000,0.0000,0.0000,Addresses,0.0000,0.000,0.000,0.0000,0.0000,0.00000,0.99,green
Cryptocurrency,Ethereum,Ethereum (All Addresses 2023),2,0.6844,0.6844,0.0082,Addresses,0.0000,0.006,0.006,0.0044,0.6844,0.00151,0.99,green
Cryptocurrency,Ethereum,Ethereum (All Addresses 2023),3,0.2433,0.9277,0.0230,Addresses,0.0000,0.006,0.011,0.0088,0.9277,0.00161,0.99,green
Cryptocurrency,Ethereum,Ethereum (All Addresses 2023),4,0.0533,0.9810,0.2300,Addresses,0.0000,0.012,0.023,0.0185,0.9810,0.00073,0.99,green
Cryptocurrency,Ethereum,Ethereum (All Addresses 2023),5,0.0184,0.9994,2.3000,Addresses,0.0000,0.042,0.066,0.0519,0.9994,0.00065,0.99,green
Cryptocurrency,Ethereum,Ethereum (All Addresses 2023),6,0.0005,0.9999,230.0000,Addresses,0.0000,0.118,0.184,0.1454,0.9999,0.00005,0.99,green
Cryptocurrency,Ethereum,Ethereum (All Addresses 2023),7,0.0001,1.0000,2300.0000,Addresses,0.0001,0.167,0.351,0.2774,1.0000,0.00002,0.99,green
Cryptocurrency,Ethereum,Ethereum (All Addresses 2023),8,0.0000,1.0000,23000.0000,Addresses,0.0013,0.314,0.665,0.5258,1.0000,0.00001,0.99,green
Cryptocurrency,Ethereum,Ethereum (All Addresses 2023),9,0.0000,1.0000,230000.0000,Addresses,0.0131,0.302,0.966,0.7644,1.0000,0.00000,0.99,green
Cryptocurrency,Ethereum,Ethereum (All Addresses 2023),10,0.0000,1.0000,1447741.6372,Addresses,0.0827,0.015,0.982,0.7765,1.0000,0.00000,0.99,green
Cryptocurrency,Ethereum,Ethereum (All Addresses 2023),11,0.0000,1.0000,1636037.3771,Addresses,0.0934,0.017,0.999,0.7900,1.0000,0.00000,0.99,green
Cryptocurrency,Ethereum,Ethereum (All Addresses 2023),12,0.0000,1.0000,1780839.9721,Addresses,0.1017,0.019,1.018,0.8048,1.0000,0.00000,0.99,green
Cryptocurrency,Ethereum,Ethereum (All Addresses 2023),13,0.0000,1.0000,1996008.2892,Addresses,0.1140,0.021,1.038,0.8214,1.0000,0.00000,0.99,green
Cryptocurrency,Ethereum,Ethereum (All Addresses 2023),14,0.0000,1.0000,4002058.9725,Addresses,0.2285,0.042,1.080,0.8546,1.0000,0.00000,0.99,green
Cryptocurrency,Ethereum,Ethereum (All Addresses 2023),15,0.0000,1.0000,17515159.1393,Addresses,1.0000,0.184,1.264,1.0000,1.0000,0.00000,0.99,green
Cryptocurrency,Ethereum,Ethereum (Addresses > 1 ETH),1,0.0000,0.0000,0.0000,Addresses,0.0000,0.000,0.000,0.0000,0.0000,0.00000,0.96,green
Cryptocurrency,Ethereum,Ethereum (Addresses > 1 ETH),2,0.9683,0.9683,2.3000,Addresses,0.0000,2.227,2.227,0.0340,0.9683,0.01647,0.96,green
Cryptocurrency,Ethereum,Ethereum (Addresses > 1 ETH),3,0.0271,0.9954,230.0000,Addresses,0.0000,6.234,8.461,0.1292,0.9954,0.00221,0.96,green
Cryptocurrency,Ethereum,Ethereum (Addresses > 1 ETH),4,0.0038,0.9992,2300.0000,Addresses,0.0001,8.807,17.269,0.2638,0.9992,0.00075,0.96,green
Cryptocurrency,Ethereum,Ethereum (Addresses > 1 ETH),5,0.0007,0.9999,23000.0000,Addresses,0.0013,16.568,33.837,0.5168,0.9999,0.00028,0.96,green
Cryptocurrency,Ethereum,Ethereum (Addresses > 1 ETH),6,0.0001,1.0000,230000.0000,Addresses,0.0131,15.918,49.755,0.7600,1.0000,0.00004,0.96,green
Cryptocurrency,Ethereum,Ethereum (Addresses > 1 ETH),7,0.0000,1.0000,1447741.6372,Addresses,0.0827,0.802,50.557,0.7722,1.0000,0.00000,0.96,green
Cryptocurrency,Ethereum,Ethereum (Addresses > 1 ETH),8,0.0000,1.0000,1636037.3771,Addresses,0.0934,0.906,51.463,0.7861,1.0000,0.00000,0.96,green
Cryptocurrency,Ethereum,Ethereum (Addresses > 1 ETH),9,0.0000,1.0000,1780839.9721,Addresses,0.1017,0.986,52.449,0.8011,1.0000,0.00000,0.96,green
Cryptocurrency,Ethereum,Ethereum (Addresses > 1 ETH),10,0.0000,1.0000,1996008.2892,Addresses,0.1140,1.105,53.554,0.8180,1.0000,0.00000,0.96,green
Cryptocurrency,Ethereum,Ethereum (Addresses > 1 ETH),11,0.0000,1.0000,4002058.9725,Addresses,0.2285,2.216,55.770,0.8519,1.0000,0.00000,0.96,green
Cryptocurrency,Ethereum,Ethereum (Addresses > 1 ETH),12,0.0000,1.0000,17515159.1393,Addresses,1.0000,9.698,65.468,1.0000,1.0000,0.00000,0.96,green
Cryptocurrency,Bitcoin Miners,Bitcoin Mining Pools (% of Hashrate),1,0.0000,0.0000,0.0000,Pools,0.0000,0.000,0.000,0.0000,0.0000,0.00000,0.43,green
Cryptocurrency,Bitcoin Miners,Bitcoin Mining Pools (% of Hashrate),2,0.1000,0.1000,0.0000,Pools,0.0000,0.000,0.000,0.0000,0.1000,0.00000,0.43,green
Cryptocurrency,Bitcoin Miners,Bitcoin Mining Pools (% of Hashrate),3,0.1000,0.2000,0.0257,Pools,0.1015,0.003,0.003,0.0270,0.2000,0.00135,0.43,green
Cryptocurrency,Bitcoin Miners,Bitcoin Mining Pools (% of Hashrate),4,0.1000,0.3000,0.0341,Pools,0.1347,0.003,0.006,0.0629,0.3000,0.00450,0.43,green
Cryptocurrency,Bitcoin Miners,Bitcoin Mining Pools (% of Hashrate),5,0.1000,0.4000,0.0470,Pools,0.1857,0.005,0.011,0.1124,0.4000,0.00877,0.43,green
Cryptocurrency,Bitcoin Miners,Bitcoin Mining Pools (% of Hashrate),6,0.1000,0.5000,0.0639,Pools,0.2525,0.006,0.017,0.1796,0.5000,0.01460,0.43,green
Cryptocurrency,Bitcoin Miners,Bitcoin Mining Pools (% of Hashrate),7,0.1000,0.6000,0.0930,Pools,0.3674,0.009,0.026,0.2775,0.6000,0.02286,0.43,green
Cryptocurrency,Bitcoin Miners,Bitcoin Mining Pools (% of Hashrate),8,0.1000,0.7000,0.1153,Pools,0.4556,0.012,0.038,0.3988,0.7000,0.03382,0.43,green
Cryptocurrency,Bitcoin Miners,Bitcoin Mining Pools (% of Hashrate),9,0.1000,0.8000,0.1476,Pools,0.5832,0.015,0.053,0.5541,0.8000,0.04765,0.43,green
Cryptocurrency,Bitcoin Miners,Bitcoin Mining Pools (% of Hashrate),10,0.1000,0.9000,0.1706,Pools,0.6740,0.017,0.070,0.7337,0.9000,0.06439,0.43,green
Cryptocurrency,Bitcoin Miners,Bitcoin Mining Pools (% of Hashrate),11,0.1000,1.0000,0.2531,Pools,1.0000,0.025,0.095,1.0000,1.0000,0.08668,0.43,green
Cryptocurrency,Ethereum Validators,Ethereum Validator Pools (% of Staked ETH),1,0.0000,0.0000,0.0000,Pools,0.0000,0.000,0.000,0.0000,0.0000,0.00000,0.55,green
Cryptocurrency,Ethereum Validators,Ethereum Validator Pools (% of Staked ETH),2,0.1000,0.1000,0.0000,Pools,0.0000,0.000,0.000,0.0000,0.1000,0.00000,0.55,green
Cryptocurrency,Ethereum Validators,Ethereum Validator Pools (% of Staked ETH),3,0.1000,0.2000,0.0162,Pools,0.0531,0.002,0.002,0.0175,0.2000,0.00087,0.55,green
Cryptocurrency,Ethereum Validators,Ethereum Validator Pools (% of Staked ETH),4,0.1000,0.3000,0.0208,Pools,0.0682,0.002,0.004,0.0400,0.3000,0.00287,0.55,green
Cryptocurrency,Ethereum Validators,Ethereum Validator Pools (% of Staked ETH),5,0.1000,0.4000,0.0215,Pools,0.0704,0.002,0.006,0.0632,0.4000,0.00516,0.55,green
Cryptocurrency,Ethereum Validators,Ethereum Validator Pools (% of Staked ETH),6,0.1000,0.5000,0.0392,Pools,0.1284,0.004,0.010,0.1055,0.5000,0.00844,0.55,green
Cryptocurrency,Ethereum Validators,Ethereum Validator Pools (% of Staked ETH),7,0.1000,0.6000,0.0675,Pools,0.2212,0.007,0.017,0.1784,0.6000,0.01420,0.55,green
Cryptocurrency,Ethereum Validators,Ethereum Validator Pools (% of Staked ETH),8,0.1000,0.7000,0.0850,Pools,0.2785,0.009,0.025,0.2703,0.7000,0.02243,0.55,green
Cryptocurrency,Ethereum Validators,Ethereum Validator Pools (% of Staked ETH),9,0.1000,0.8000,0.1452,Pools,0.4758,0.015,0.040,0.4271,0.8000,0.03487,0.55,green
Cryptocurrency,Ethereum Validators,Ethereum Validator Pools (% of Staked ETH),10,0.1000,0.9000,0.2252,Pools,0.7379,0.023,0.062,0.6703,0.9000,0.05487,0.55,green
Cryptocurrency,Ethereum Validators,Ethereum Validator Pools (% of Staked ETH),11,0.1000,1.0000,0.3052,Pools,1.0000,0.031,0.093,1.0000,1.0000,0.08352,0.55,green
Equal,Equal,Equally Distributed,1,0.0000,0.0000,0.0000,none,1.0000,0.000,0.000,0.0000,0.0000,0.00000,0.00,black
Equal,Equal,Equally Distributed,2,0.1000,0.1000,0.1000,none,1.0000,0.010,0.010,0.1000,0.1000,0.00000,0.00,black
Equal,Equal,Equally Distributed,3,0.1000,0.2000,0.1000,none,1.0000,0.010,0.020,0.2000,0.2000,0.00000,0.00,black
Equal,Equal,Equally Distributed,4,0.1000,0.3000,0.1000,none,1.0000,0.010,0.030,0.3000,0.3000,0.00000,0.00,black
Equal,Equal,Equally Distributed,5,0.1000,0.4000,0.1000,none,1.0000,0.010,0.040,0.4000,0.4000,0.00000,0.00,black
Equal,Equal,Equally Distributed,6,0.1000,0.5000,0.1000,none,1.0000,0.010,0.050,0.5000,0.5000,0.00000,0.00,black
Equal,Equal,Equally Distributed,7,0.1000,0.6000,0.1000,none,1.0000,0.010,0.060,0.6000,0.6000,0.00000,0.00,black
Equal,Equal,Equally Distributed,8,0.1000,0.7000,0.1000,none,1.0000,0.010,0.070,0.7000,0.7000,0.00000,0.00,black
Equal,Equal,Equally Distributed,9,0.1000,0.8000,0.1000,none,1.0000,0.010,0.080,0.8000,0.8000,0.00000,0.00,black
Equal,Equal,Equally Distributed,10,0.1000,0.9000,0.1000,none,1.0000,0.010,0.090,0.9000,0.9000,0.00000,0.00,black
Equal,Equal,Equally Distributed,11,0.1000,1.0000,0.1000,none,1.0000,0.010,0.100,1.0000,1.0000,0.00000,0.00,black
